j,v1,v2,v3,time
0,0.0589654,0.0589654,1.95699,0.00198364
2,0.0569512,0.0559945,1.89198,0.00402832
4,0.0539803,0.0559945,1.83296,0.00585938
6,0.0539803,0.0519661,1.77798,0.00769043
8,0.0519661,0.0499519,1.72596,0.00949096
10,0.0489952,0.0489952,1.67495,0.0113525
12,0.0479881,0.0479881,1.62298,0.0132446
14,0.0459739,0.046981,1.57399,0.0151062
16,0.0439597,0.0459739,1.52696,0.0169373
18,0.0439597,0.0439597,1.48199,0.0187683
20,0.0429526,0.0419959,1.43899,0.0205994
22,0.0429526,0.0409888,1.39896,0.0223999
24,0.0409888,0.0419959,1.35696,0.0242309
26,0.0389746,0.0399817,1.31799,0.026062
28,0.0379675,0.0379675,1.27795,0.0278626
30,0.0379675,0.0389746,1.24195,0.0296936
32,0.0359533,0.0359533,1.20796,0.0314941
34,0.0339894,0.0339894,1.17196,0.0333252
36,0.0339894,0.0329823,1.13797,0.0351562
38,0.0319753,0.0309682,1.10498,0.0369873
40,0.0319753,0.0319753,1.07397,0.0387878
42,0.0299611,0.028954,1.04395,0.0406189
44,0.0299611,0.0299611,1.01399,0.0424194
46,0.0299611,0.0299611,0.983982,0.0442505
48,0.028954,0.028954,0.953971,0.046051
50,0.0269901,0.0279972,0.927988,0.0478821
52,0.0269901,0.025983,0.902961,0.0496826
54,0.025983,0.024976,0.877985,0.0515137
56,0.024976,0.024976,0.849988,0.0534668
58,0.024976,0.0239689,0.826976,0.0553284
60,0.0239689,0.0239689,0.803964,0.0571594
62,0.0229618,0.0219547,0.779995,0.0589905
64,0.0239689,0.0219547,0.756983,0.060791
66,0.0209979,0.0229618,0.735985,0.0626221
68,0.0209979,0.0209979,0.716951,0.0644531
70,0.0219547,0.0189837,0.694996,0.0662842
72,0.0189837,0.0199908,0.676969,0.0680847
74,0.0189837,0.0189837,0.657985,0.0699158
76,0.0179766,0.0189837,0.638951,0.0717163
78,0.0179766,0.0179766,0.620975,0.0735474
80,0.0179766,0.0169695,0.603955,0.0753784
82,0.0169695,0.0169695,0.589,0.077179
84,0.0169695,0.0159625,0.57198,0.07901
86,0.0159625,0.0159625,0.557981,0.0808105
88,0.0159625,0.0149554,0.541968,0.0826416
90,0.0139986,0.0149554,0.526962,0.0844421
92,0.0139986,0.0149554,0.511957,0.0862732
94,0.0139986,0.0129915,0.497958,0.0881042
96,0.0139986,0.0139986,0.483959,0.0899048
98,0.0149554,0.0139986,0.469961,0.0917358
100,0.0129915,0.0129915,0.458984,0.0935364
102,0.0139986,0.0119844,0.445992,0.0953674
104,0.0119844,0.0119844,0.433957,0.097168
106,0.0119844,0.0119844,0.42298,0.098999
108,0.0119844,0.00997024,0.409988,0.1008
110,0.0119844,0.0109773,0.398961,0.102631
112,0.0109773,0.0109773,0.38899,0.104462
114,0.00997024,0.00997024,0.375999,0.10672
116,0.00896315,0.00997024,0.365978,0.108551
118,0.00997024,0.0119844,0.356965,0.110382
120,0.00896315,0.00997024,0.346995,0.112183
122,0.00997024,0.00997024,0.326953,0.114014
124,0.00896315,0.00795605,0.326953,0.115814
126,0.00896315,0.00795605,0.318997,0.117645
128,0.00997024,0.00896315,0.309984,0.119446
130,0.00699931,0.00699931,0.30097,0.121277
132,0.00699931,0.00699931,0.295985,0.123108
134,0.00795605,0.00699931,0.284958,0.124908
136,0.00795605,0.00699931,0.278965,0.12674
138,0.00699931,0.00896315,0.270959,0.12854
