j,vdac,v1,v2,time
0,0.0,0.0919981,0.0589654,0.399872
5,0.0646555,0.132987,0.0599725,0.801971
10,0.129361,0.191952,0.0899839,1.20425
15,0.194067,0.250968,0.128958,1.60693
20,0.258773,0.311998,0.16899,2.00946
25,0.323479,0.373985,0.210986,2.41199
30,0.388185,0.434964,0.248954,2.81451
35,0.45289,0.498965,0.289993,3.21704
40,0.517596,0.560952,0.335967,3.61957
45,0.582302,0.61896,0.375999,4.02206
50,0.647008,0.680998,0.414973,4.42462
55,0.711714,0.741977,0.455962,4.82715
60,0.77642,0.80195,0.496951,5.22971
65,0.841126,0.853966,0.535976,5.63226
70,0.905832,0.915953,0.568958,6.08072
75,0.970537,0.974969,0.60899,6.4838
80,1.03524,1.03897,0.649979,6.88608
85,1.09995,1.1,0.690968,7.28864
90,1.16465,1.16098,0.729993,7.69116
95,1.22936,1.22297,0.769974,8.09372
100,1.29407,1.28999,0.812977,8.49625
105,1.35877,1.35097,0.854973,8.8988
110,1.42348,1.412,0.896969,9.30136
115,1.48818,1.47398,0.937958,9.70389
120,1.55289,1.53597,0.97799,10.1064
125,1.6176,1.59499,1.02099,10.509
130,1.6823,1.63295,1.05997,10.9115
135,1.74706,1.70798,1.08595,11.314
140,1.81171,1.75496,1.13595,11.8177
145,1.87642,1.81599,1.16697,12.2198
150,1.94112,1.87496,1.20897,12.6231
155,2.00588,1.94596,1.24799,13.0256
160,2.07054,1.99299,1.29497,13.4281
165,2.13524,2.058,1.32796,13.8306
170,2.19995,2.11596,1.37197,14.2332
175,2.2647,2.18998,1.41099,14.6357
180,2.32936,2.23696,1.45596,15.0372
185,2.39407,2.29597,1.49,15.4397
190,2.45877,2.35998,1.52897,15.8423
195,2.52353,2.42297,1.56895,16.2448
200,2.58818,2.47398,1.61095,16.6473
205,2.65289,2.53395,1.646,17.0498
210,2.7176,2.59896,1.68195,17.5006
215,2.78235,2.66996,1.724,17.9037
220,2.84701,2.66996,1.77098,18.306
225,2.91171,2.66996,1.80199,18.7088
230,2.97642,2.66996,1.845,19.1114
235,3.04117,2.66996,1.88196,19.5139
240,3.10583,2.66996,1.92496,19.9164
245,3.17054,2.66996,1.95397,20.3189
250,3.23524,2.66996,1.97496,20.7215
